Identifiant de l'opération;Titre de l'opération;Titre du projet lauréat;Edition;Thématique;Direction pilote de l'opération;Type de financement de l'opération;Adresse de l'opération;Arrondissement de l'opération;Longitude;Latitude;Opération en Quartier Populaire;Quartier de l'opération;Avancement de l'opération;Date de début des études de l'opération;Date de lancement des procédures de l'opération;Date de lancement des travaux de l'opération;Date prévisonnelle de livraison de l'opération;Date d'ouverture de l'opération au public;Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet;geo_shape;geo_point_2d
4089;CPA Mathis;Modernisons les Centres Paris Anim' de nos quartiers;2017;Education et jeunesse;Direction de la Jeunesse et des Sports;;15 rue Mathis;75019;2.375;48.8907;oui;53;FIN;2018-02;2018-09;2018-12;2019-09;2019-09;3762;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002601;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3762&portlet_id=158;Direction de la Jeunesse et des Sports;300000;Budget participatif d’arrondissement;135 Boulevard Sérurier;75019;Oui;FIN;2018-02;2018-04;2018-08;2018-09;2019-09;;"{""coordinates"": [2.374999999548037, 48.890700000354606], ""type"": ""Point""}";48.890700000354606, 2.374999999548037
4142;Des fontaines à boire dans tout Paris Fontaine Arceau;Des fontaines à boire dans tout Paris;2015;Cadre de vie;Direction de la Propreté et de l’Eau;;51, Rue de Tocqueville;75017;2.31049;48.88511;non;94;FIN;2016-04;;2017-09;;2017-10;1990;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1990&portlet_id=158;Direction de la Propreté et de l’Eau;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-01;2016-01;2016-10;2017-03;2020-07;;"{""coordinates"": [2.310490000186164, 48.88511000017288], ""type"": ""Point""}";48.88511000017288, 2.310490000186164
4146;Des fontaines à boire dans tout Paris Fontaine Arceau 0397;Des fontaines à boire dans tout Paris;2015;Cadre de vie;Direction de la Propreté et de l’Eau;;7, Boulevard d'algérie;75019;2.40047;48.87988;oui;105;FIN;2016-04;;;2018-11;2018-03;1990;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1990&portlet_id=158;Direction de la Propreté et de l’Eau;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-01;2016-01;2016-10;2017-03;2020-07;;"{""coordinates"": [2.40047000001055, 48.8798799999083], ""type"": ""Point""}";48.8798799999083, 2.40047000001055
4188;Rue aux enfants - Rue des Prêtres St Séverin (5e);;2014;Cadre de vie;Direction de la Voirie et des Déplacements;;Rue des Prêtres Saint-Séverin;75005;2.34514;48.852;non;125;FIN;2018-05;2018-05;2018-10;2018-11;2018-11;2204;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2204&portlet_id=158;Direction de la Voirie et des Déplacements;1500000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-07;2018-04;2018-01;2018-06;2020-02;;"{""coordinates"": [2.3451400004732554, 48.85200000007839], ""type"": ""Point""}";48.85200000007839, 2.3451400004732554
4260;L'accorderie;Agir en faveur de la vitalité associative des quartiers populaires !;2016;Solidarités;Direction de la Démocratie, des Citoyens et des Territoires;;43, Rue des Panoyaux;75020;2.38711;48.8668;oui;18;FIN;2018-07;2018-07;2019-05;2019-06;2019-06;2949;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003698;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2949&portlet_id=158;Direction de la Démocratie, des Citoyens et des Territoires;3500000;Budget participatif parisien;Place de l'Hôtel de Ville;75004;Oui;FIN;2016-06;2016-06;2017-07;2017-07;2024-01;;"{""coordinates"": [2.3871099997665617, 48.86680000037249], ""type"": ""Point""}";48.86680000037249, 2.3871099997665617
4264;Plus loin;Agir en faveur de la vitalité associative des quartiers populaires !;2016;Solidarités;Direction de la Démocratie, des Citoyens et des Territoires;Subvention;136 Boulevard Davout;75020;2.4096;48.861;oui;55;FIN;2018-07;2018-07;2018-07;2018-07;2018-08;2949;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003698;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2949&portlet_id=158;Direction de la Démocratie, des Citoyens et des Territoires;3500000;Budget participatif parisien;Place de l'Hôtel de Ville;75004;Oui;FIN;2016-06;2016-06;2017-07;2017-07;2024-01;;"{""coordinates"": [2.4095999995304247, 48.860999999714814], ""type"": ""Point""}";48.860999999714814, 2.4095999995304247
4278;La reconquête de la Petite Ceinture / Aménagement PC19;La reconquête de la Petite Ceinture;2015;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;56, Rue Petit;75019;2.38477;48.88518;non;75;FIN;2018-06;;2019-05;2020-07;2021-05;2008;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2008&portlet_id=158;Direction des Espaces Verts et de l’Environnement;7500000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-01;2016-01;2016-07;2017-07;2021-05;;"{""coordinates"": [2.384769999841979, 48.8851799998283], ""type"": ""Point""}";48.8851799998283, 2.384769999841979
4312;mur végétalisé jardin Nelson Mandela;Des jardins sur les murs;2014;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;1, Rue Pierre Lescot;75001;2.34774;48.8611;non;70;FIN;2018-07;2018-07;2018-07;2018-08;2018-08;2206;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2206&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-01;2015-03;2015-04;2021-12;;"{""coordinates"": [2.347740000323021, 48.86109999964435], ""type"": ""Point""}";48.86109999964435, 2.347740000323021
4317;BVRAC - Epicerie 100% Vrac;Alimentation : du gaspillage au partage;2016;Solidarités;Direction de l’Attractivité et de l’Emploi;Subvention;61 rue de la Goutte d’or;75018;2.3504;48.8851;oui;57;FIN;2018-07;2018-01;2018-07;2019-02;2019-02;2716;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003595;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2716&portlet_id=158;Direction de l’Attractivité et de l’Emploi;1500000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-03;2017-07;2017-07;2017-08;2023-09;;"{""coordinates"": [2.3503999994666636, 48.885100000157294], ""type"": ""Point""}";48.885100000157294, 2.3503999994666636
4329;Essaimage des repair café à Paris (1/10);#TousRécup;2017;Solidarités;Direction de l’Attractivité et de l’Emploi;Subvention;13, Rue Léopold Bellan;75002;2.3458;48.86652;non;78;FIN;2018-07;2018-09;;;2019-03;3788;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002726;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3788&portlet_id=158;Direction de l’Attractivité et de l’Emploi;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Non;LIVRAISON;2018-01;2018-07;2018-07;2018-09;;;"{""coordinates"": [2.3457999999573316, 48.866519999948636], ""type"": ""Point""}";48.866519999948636, 2.3457999999573316
