Identifiant de l'opération;Titre de l'opération;Titre du projet lauréat;Edition;Thématique;Direction pilote de l'opération;Type de financement de l'opération;Adresse de l'opération;Arrondissement de l'opération;Longitude;Latitude;Opération en Quartier Populaire;Quartier de l'opération;Avancement de l'opération;Date de début des études de l'opération;Date de lancement des procédures de l'opération;Date de lancement des travaux de l'opération;Date prévisonnelle de livraison de l'opération;Date d'ouverture de l'opération au public;Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet;geo_shape;geo_point_2d
2712;Art urbain quartier des impressionnistes;Du street art quartier des impressionnistes;2015;Cadre de vie;Direction des Affaires Culturelles;Régie;2 rue Gauguin;75017;2.3016;48.8896;non;36;FIN;2016-03;2018-06;2021-05;2021-05;2021-05;1442;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1442&portlet_id=158;Direction des Affaires Culturelles;30000;Budget participatif d’arrondissement;Rue Camille Pissarro;75017;Non;FIN;2016-03;2018-06;2021-05;2021-05;2021-05;;"{""coordinates"": [2.3015999995358656, 48.889600000226714], ""type"": ""Point""}";48.889600000226714, 2.3015999995358656
2723;Des bancs pour les écoles du boulevard Pereire;Des bancs pour les écoles du boulevard Pereire;2015;Education et jeunesse;Direction des Affaires Scolaires;;221 Boulevard Pereire;75017;2.2894;48.8805;non;128;FIN;2016-02;2016-03;2016-04;2016-05;2016-05;1467;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1467&portlet_id=158;Direction des Affaires Scolaires;5000;Budget participatif d’arrondissement;221 Boulevard Pereire;75017;Non;FIN;2016-02;2016-03;2016-04;2016-05;2016-05;;"{""coordinates"": [2.289399999396953, 48.880500000150136], ""type"": ""Point""}";48.880500000150136, 2.289399999396953
2750;Des lanternes pour le quartier historique du 2ème arrondissement;Des lanternes pour le quartier historique du 2ème arrondissement;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;1, Rue du Mail;75002;2.34141;48.8664;non;78;FIN;2016-09;2016-09;2019-04;2019-06;2019-06;1519;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1519&portlet_id=158;Direction de la Voirie et des Déplacements;200000;Budget participatif d’arrondissement;Place des Petits Pères;75002;Non;FIN;2016-09;2016-09;2019-04;2019-06;2019-06;;"{""coordinates"": [2.3414099995272157, 48.866399999693336], ""type"": ""Point""}";48.866399999693336, 2.3414099995272157
2777;Cour de récréation école élémentaire La Motte Picquet;Aménager et équiper la cour de l'école de l'avenue de la Motte-Picquet;2015;Education et jeunesse;Direction des Affaires Scolaires;;10 Avenue de la Motte-Picquet;75007;2.3091;48.8569;non;60;FIN;2016-04;2016-05;2016-07;2016-11;2016-11;1604;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1604&portlet_id=158;Direction des Affaires Scolaires;50000;Budget participatif d’arrondissement;10 Avenue de la Motte-Picquet;75007;Non;FIN;2016-04;2016-05;2016-07;2016-11;2016-11;;"{""coordinates"": [2.3090999995117674, 48.85690000021931], ""type"": ""Point""}";48.85690000021931, 2.3090999995117674
2787;Installer des espaces de convivialité aux Buttes-Chaumont et près du bassin de la Villette;Installer des espaces de convivialité a Buttes-Chaumont et près du bassin de la Villette;2015;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;7 Place Armand Carrel;75019;2.3821;48.8829;non;75;FIN;2016-02;2017-02;2019-04;2019-05;2019-05;1629;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1629&portlet_id=158;Direction des Espaces Verts et de l’Environnement;60000;Budget participatif d’arrondissement;7 Place Armand Carrel;75019;Non;FIN;2016-02;2017-02;2019-04;2019-05;2019-05;;"{""coordinates"": [2.382099999621382, 48.88289999987432], ""type"": ""Point""}";48.88289999987432, 2.382099999621382
2794;Continuité cyclable rue Riquet;Développer le réseau cyclable dans le 19e;2015;Mobilités;Direction de la Voirie et des Déplacements;;7 Place Armand Carrel;75019;2.3821;48.8829;oui;75;FIN;2016-08;2016-09;2018-10;2020-02;2020-02;1647;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1647&portlet_id=158;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;7 Place Armand Carrel;75019;Oui;FIN;2016-08;2016-09;2018-04;2018-06;2020-02;;"{""coordinates"": [2.382099999621382, 48.88289999987432], ""type"": ""Point""}";48.88289999987432, 2.382099999621382
2807;Piétonnisation du quartier Saint-Séverin;Piétonnisation du quartier Saint-Séverin;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;21 Place du Panthéon;75005;2.3446;48.8462;non;125;ABANDONNÉ;2015-12;;;;;1692;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1692&portlet_id=158;Direction de la Voirie et des Déplacements;15000;Budget participatif d’arrondissement;21 Place du Panthéon;75005;Non;ABANDONNÉ;;;;;;;"{""coordinates"": [2.3446000002007397, 48.8461999996899], ""type"": ""Point""}";48.8461999996899, 2.3446000002007397
2825;Rénovation de la sous-dalle Beaugrenelle;Rénovation de la sous-dalle Beaugrenelle;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;13 Rue Robert de Flers;75015;2.2845;48.8498;non;50;FIN;2016-02;2016-07;2018-07;2019-04;2019-04;1745;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1745&portlet_id=158;Direction de la Voirie et des Déplacements;600000;Budget participatif d’arrondissement;13 Rue Robert de Flers;75015;Non;FIN;2016-02;2016-07;2018-07;2019-04;2019-04;;"{""coordinates"": [2.2844999995934265, 48.8498000003384], ""type"": ""Point""}";48.8498000003384, 2.2844999995934265
2831;Remise en état horloge St Ambroise;Remise en état de l'horloge de l'église Saint-Ambroise;2015;Cadre de vie;Direction des Affaires Culturelles;;71b Boulevard Voltaire;75011;2.3756;48.8611;non;112;FIN;2016-01;2016-03;2016-06;2016-07;2016-07;1779;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1779&portlet_id=158;Direction Constructions Publiques et Architecture;14000;Budget participatif d’arrondissement;71b Boulevard Voltaire;75011;Non;FIN;2016-01;2016-03;2016-06;2016-07;2016-07;;"{""coordinates"": [2.3755999999915334, 48.86110000034137], ""type"": ""Point""}";48.86110000034137, 2.3755999999915334
2906;Rénover les aménagements de la rue Jeanne-d’Arc;Des améliorations rue Jeanne d'Arc;2016;Cadre de vie;Direction de la Voirie et des Déplacements;;Rue Jeanne d'Arc;75013;2.3635;48.8335;oui;122;ABANDONNÉ;2020-10;;;;2024-06;2391;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=000852;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2391&portlet_id=158;Direction de la Voirie et des Déplacements;100000;Budget participatif d’arrondissement;Rue Jeanne d'Arc;75013;Oui;ABANDONNÉ;;;;;;;"{""coordinates"": [2.3634999995242048, 48.83350000034697], ""type"": ""Point""}";48.83350000034697, 2.3634999995242048
2940;Cultiver au Champ de Mars;Cultiver au Champ-de-Mars;2016;Environnement;Direction des Espaces Verts et de l’Environnement;;Champ de Mars;75007;2.2981;48.8559;non;60;ABANDONNÉ;2017-01;;;;;2390;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=000087;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2390&portlet_id=158;Direction des Espaces Verts et de l’Environnement;20000;Budget participatif d’arrondissement;Rue Savorgnan de Brazza- Champ de Mars;75007;Non;ABANDONNÉ;;;;;;;"{""coordinates"": [2.2980999999903573, 48.85590000034612], ""type"": ""Point""}";48.85590000034612, 2.2980999999903573
2959;Les Petits Maraîchers - potagers pédagogiques en crèches;Les Petits Maraîchers - potagers pédagogiques en crèches;2016;Education et jeunesse;Direction des Familles et de la Petite Enfance;;6, Place Gambetta;75020;2.399;48.86509;non;55;FIN;2018-02;2018-06;2018-08;2022-06;2022-12;2908;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002642;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2908&portlet_id=158;Direction des Familles et de la Petite Enfance;75000;Budget participatif d’arrondissement;6 Place Gambetta;75020;Non;FIN;2018-02;2018-06;2018-08;2022-06;2022-12;;"{""coordinates"": [2.3989999993984785, 48.865090000356155], ""type"": ""Point""}";48.865090000356155, 2.3989999993984785
2984;Fresque rue Broca 1/2;Pont Broca street art - Les Contes de la rue Broca;2016;Culture et patrimoine;Direction des Affaires Culturelles;Subvention;50 Rue Broca;75005;2.3472;48.8376;non;130;FIN;2018-01;2018-02;2018-05;2018-06;2018-06;2839;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=001691;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2839&portlet_id=158;Direction des Affaires Culturelles;15000;Budget participatif d’arrondissement;50 Rue Broca;75005;Non;FIN;2018-01;2018-02;2018-05;2018-06;2018-06;;"{""coordinates"": [2.3472000001461044, 48.83759999970851], ""type"": ""Point""}";48.83759999970851, 2.3472000001461044
3020;Playground du jardin des Halles;Un terrain de basket aux Halles;2016;Sport;Direction de la Jeunesse et des Sports;;rue berger;75001;2.3455;48.8615;non;70;FIN;2017-01;2017-09;2018-06;2018-11;2018-12;2960;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=001709;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2960&portlet_id=158;Direction de la Jeunesse et des Sports;200000;Budget participatif d’arrondissement;JARDIN NELSON MANDELA;75001;Non;FIN;2017-01;2017-09;2018-06;2018-11;2018-12;;"{""coordinates"": [2.3455000002906674, 48.861500000390286], ""type"": ""Point""}";48.861500000390286, 2.3455000002906674
3075;Parcours végétal et artistique entre Montmartre et les Puces;Parcours végétal et artistique entre Montmartre et les Puces;2016;Cadre de vie;Direction de la Voirie et des Déplacements;;Rue du Mont-Cenis;75018;2.34442;48.89272;non;41;ETUDES;2017-07;;;;;2657;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003628;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2657&portlet_id=158;Direction de la Voirie et des Déplacements;390000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Non;ETUDES;2017-07;;;;;;"{""coordinates"": [2.3444200005833356, 48.89271999968163], ""type"": ""Point""}";48.89271999968163, 2.3444200005833356
3085;Réfectoire école maternelle BESSIERES;Aménagements dans les écoles du quartier Epinettes - Bessières;2016;Education et jeunesse;Direction des Affaires Scolaires;;90 boulevard Bessieres;75017;2.3191;48.8967;oui;51;FIN;2017-04;2017-05;2017-06;2017-11;2017-11;2720;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003629;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2720&portlet_id=158;Direction des Affaires Scolaires;124000;Budget participatif d’arrondissement;Rue des Epinettes;75017;Oui;FIN;2017-04;2017-05;2017-06;2017-11;2017-11;;"{""coordinates"": [2.3191000004213675, 48.89669999962326], ""type"": ""Point""}";48.89669999962326, 2.3191000004213675
3089;Végétaliser les trottoirs du 15ème / 01- Gerbert en vert SPA;Végétaliser les trottoirs du 15e;2016;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;Rue gerbert;75015;2.2984;48.8394;non;116;FIN;2017-02;2017-07;2018-12;2019-03;2019-04;2809;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003652;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2809&portlet_id=158;Direction des Espaces Verts et de l’Environnement;553000;Budget participatif d’arrondissement;31 Rue Peclet;75015;Non;FIN;2017-02;2017-07;2018-12;2019-03;2020-03;;"{""coordinates"": [2.2984000000138014, 48.83940000006541], ""type"": ""Point""}";48.83940000006541, 2.2984000000138014
3105;TEP Chaumont;Rénover les terrains de sports Michelet, Porte Chaumont et Barbanègre;2016;Sport;Direction de la Jeunesse et des Sports;;22, Avenue de la Porte-Chaumont;75019;2.39828;48.88594;oui;44;FIN;2017-01;2018-06;2018-12;2019-03;2019-03;2885;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003680;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2885&portlet_id=158;Direction de la Jeunesse et des Sports;735000;Budget participatif d’arrondissement;5-7 Place Armand Carrel;75019;Oui;FIN;2017-01;2017-07;2017-10;2018-12;2019-06;;"{""coordinates"": [2.3982799998127757, 48.88594000016854], ""type"": ""Point""}";48.88594000016854, 2.3982799998127757
3125;Square Amadou Hampathé Bâ;+ de végétal dans les quartiers populaires;2016;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;19 Rue Boy-Zelensky;75010;2.3522639;48.8568475;oui;117;FIN;2017-02;2017-08;2017-10;2018-03;2018-03;2942;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2942&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2200000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Oui;LIVRAISON;2016-11;2017-03;2017-09;2018-03;;;"{""coordinates"": [2.3522639001756627, 48.85684749995907], ""type"": ""Point""}";48.85684749995907, 2.3522639001756627
3130;Parc Kellermann;+ de végétal dans les quartiers populaires;2016;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;19 Rue de la Poterne des Peupliers;75013;2.3535;48.8181;oui;187;FIN;2016-11;2017-10;2018-01;2019-11;2019-11;2942;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2942&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2200000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Oui;LIVRAISON;2016-11;2017-03;2017-09;2018-03;;;"{""coordinates"": [2.3535000000400674, 48.81809999980328], ""type"": ""Point""}";48.81809999980328, 2.3535000000400674
3137;Square Alain Bashung;+ de végétal dans les quartiers populaires;2016;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;16 Rue de Jessaint;75018;2.3562;48.885;oui;57;FIN;2017-04;2018-04;2018-08;2018-12;2019-01;2942;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2942&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2200000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Oui;LIVRAISON;2016-11;2017-03;2017-09;2018-03;;;"{""coordinates"": [2.3561999994378717, 48.88499999978095], ""type"": ""Point""}";48.88499999978095, 2.3561999994378717
3140;Jardin Pixérécourt Réfection du jardin;+ de végétal dans les quartiers populaires;2016;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;46 rue Pixérécourt;75020;2.3967;48.8731;oui;30;FIN;2017-05;2018-07;2019-11;2020-07;2020-07;2942;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2942&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2200000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Oui;LIVRAISON;2016-11;2017-03;2017-09;2018-03;;;"{""coordinates"": [2.396700000177675, 48.8731000002856], ""type"": ""Point""}";48.8731000002856, 2.396700000177675
3160;Centre Chaligny -15 rue de Chaligny 12e;Du vert à tous les étages;2015;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;15 rue de Chaligny;75012;2.3835;48.8463;non;16;FIN;2017-09;2017-09;2017-10;2017-11;2018-01;2015;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2015&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-05;2016-07;2016-08;2020-10;;"{""coordinates"": [2.383500000403655, 48.846299999892146], ""type"": ""Point""}";48.846299999892146, 2.383500000403655
3170;Toit 15-19, rue Tandou 19e;Du vert à tous les étages;2015;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;19 rue Tandou;75019;2.3799;48.8863;non;24;ABANDONNÉ;2017-09;;2019-07;;;2015;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2015&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-05;2016-07;2016-08;2020-10;;"{""coordinates"": [2.3798999994340977, 48.88629999957696], ""type"": ""Point""}";48.88629999957696, 2.3798999994340977
3217;Promenade Péreire - Mal Juin / Rennequin, Kiosque à musique;Des kiosques pour faire la fête;2014;Cadre de vie;;Régie;135 boulevard Pereire;75017;2.296;48.8841;non;42;FIN;2017-09;;2016-04;2016-06;2016-06;2205;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2205&portlet_id=158;Direction des Espaces Verts et de l’Environnement;3700000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-03;2015-04;2020-09;;"{""coordinates"": [2.296000000347465, 48.88410000003485], ""type"": ""Point""}";48.88410000003485, 2.296000000347465
3280;Des jardins sur les murs / 75009 - mur végétalisé 9 RUE AMBROISE THOMAS;Des jardins sur les murs;2014;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;9, Rue Ambroise Thomas;75009;2.34733;48.8748;non;185;FIN;2017-09;;2017-02;2017-03;2017-03;2206;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2206&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-01;2015-03;2015-04;2021-12;;"{""coordinates"": [2.3473300001151305, 48.87479999958193], ""type"": ""Point""}";48.87479999958193, 2.3473300001151305
3287;Des jardins sur les murs / 75010 - mur végétalisé 28 rue du Château Landon;Des jardins sur les murs;2014;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;28 rue du Château Landon;75010;2.3633;48.8819;non;73;FIN;2017-09;;2015-03;2015-04;2015-04;2206;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2206&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-01;2015-03;2015-04;2021-12;;"{""coordinates"": [2.363299999414723, 48.88189999978938], ""type"": ""Point""}";48.88189999978938, 2.363299999414723
3316;Conquête végétale du 10ème arrondissement / Installer des jardinières sur les trottoirs de la rue Vicq d’Azir;Conquête végétale du 10ème arrondissement;2016;Environnement;Direction de la Voirie et des Déplacements;;Rue Vicq d'Azir;75010;2.3703;48.8761;oui;52;ABANDONNÉ;2017-09;;;2020-01;;2787;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003521;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2787&portlet_id=158;Direction des Espaces Verts et de l’Environnement;400000;Budget participatif d’arrondissement;72 Rue du Faubourg Saint-Martin;75010;Non;LIVRAISON;2016-10;2017-06;2017-11;2018-03;;;"{""coordinates"": [2.37030000034635, 48.87609999958959], ""type"": ""Point""}";48.87609999958959, 2.37030000034635
3338;Shaka;Les œuvres d'art investissent la rue;2014;Culture et patrimoine;Direction des Affaires Culturelles;;131 Rue Saint-Martin;75004;2.3513;48.8611;non;117;ABANDONNÉ;2017-10;2017-12;;;;2108;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2108&portlet_id=158;Direction des Affaires Culturelles;3000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;LIVRAISON;2015-01;2015-03;2015-04;2015-05;;;"{""coordinates"": [2.3513000002965643, 48.861099999641986], ""type"": ""Point""}";48.861099999641986, 2.3513000002965643
3376;Installation oeuvre espace public;De l’art dans mon quartier : des rues hautes en couleur;2016;Culture et patrimoine;Direction des Affaires Culturelles;;130, Avenue Daumesnil;75012;2.38832;48.84111;non;186;ABANDONNÉ;2017-10;;;;;2504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003575;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2504&portlet_id=158;Direction des Affaires Culturelles;150000;Budget participatif d’arrondissement;130 Avenue Daumesnil;75012;Non;FIN;2017-01;2017-04;2017-04;2017-07;2023-09;;"{""coordinates"": [2.3883199997361135, 48.84111000038469], ""type"": ""Point""}";48.84111000038469, 2.3883199997361135
3492;Faire vivre l'espace du Pont Louis Philippe;Rendre plus convivial le pont Louis-Philippe;2017;Cadre de vie;Direction de la Voirie et des Déplacements;;Pont Louis-Philippe;75004;2.3545;48.8539;non;115;FIN;2019-10;;2019-11;2019-10;2019-10;3365;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000006;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3365&portlet_id=158;Direction de la Voirie et des Déplacements;31000;Budget participatif d’arrondissement;Pont Louis-Philippe;75004;Non;FIN;2019-10;;2019-11;2019-10;2019-10;;"{""coordinates"": [2.354499999907544, 48.853900000265604], ""type"": ""Point""}";48.853900000265604, 2.354499999907544
3563;Isolation thermique école maternelle RICAUD;Rénover/ améliorer la protection thermique des écoles;2017;Education et jeunesse;Direction des Affaires Scolaires;;8 rue Ricaut;75013;2.3614;48.8298;oui;85;FIN;2018-01;2018-03;2018-07;2020-09;2020-09;3653;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002668;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3653&portlet_id=158;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Oui;FIN;2018-01;2018-03;2018-07;2019-03;2020-09;;"{""coordinates"": [2.3614000003508258, 48.82979999998689], ""type"": ""Point""}";48.82979999998689, 2.3614000003508258
3564;Réaménager le parc Georges Brassens;Réaménager le parc Georges Brassens;2017;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;2 Place Jacques Marette;75015;2.3004;48.8327;non;56;FIN;2017-11;2018-04;2018-08;2022-05;2022-07;3443;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002682;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3443&portlet_id=158;Direction des Espaces Verts et de l’Environnement;500000;Budget participatif d’arrondissement;parc Georges Brassens;75015;Non;FIN;2017-11;2018-04;2018-08;2022-05;2022-07;;"{""coordinates"": [2.300400000441795, 48.83269999965244], ""type"": ""Point""}";48.83269999965244, 2.300400000441795
3584;Embellisement du jardin ludique de la Cabane Davout;Embellissement du jardin ludique de la Cabane Davout (37 boulevard Davout);2017;Cadre de vie;Direction de la Démocratie, des Citoyens et des Territoires;Subvention;37 boulevard Davout;75020;2.4109;48.8502;oui;102;PROCEDURES;2019-06;2019-04;;;;3529;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001097;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3529&portlet_id=158;Direction de la Démocratie, des Citoyens et des Territoires;80000;Budget participatif d’arrondissement;37 Boulevard Davout;75020;Oui;PROCEDURES;2019-06;2019-04;;;;;"{""coordinates"": [2.410899999894172, 48.850199999645], ""type"": ""Point""}";48.850199999645, 2.410899999894172
3628;Appel à Projet DRIHL;Développer l'aide aux personnes en situation de précarité;2015;Solidarités;Direction des Solidarités;;166 rue de Crimée;75019;2.378;48.8897;oui;24;FIN;2016-07;;;2017-12;2018-01;1999;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1999&portlet_id=158;Direction des Solidarités;4400000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-01;2016-01;2016-01;2017-12;2021-03;;"{""coordinates"": [2.377999999677836, 48.88970000039543], ""type"": ""Point""}";48.88970000039543, 2.377999999677836
3652;Rénovation des fontaines de la porte de Saint-Cloud;Remise en eau - Fontaines porte de Saint-Cloud;2016;Cadre de vie;Direction Constructions Publiques et Architecture;;Place de la Porte de Saint-Cloud;75016;2.25638398;48.83792815;non;22;FIN;2017-11;2017-11;2019-04;2021-02;2021-06;2335;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002208;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2335&portlet_id=158;Direction Constructions Publiques et Architecture;1500000;Budget participatif d’arrondissement;Place de la Porte de Saint-Cloud;75016;Non;FIN;2017-11;2017-11;2019-04;2021-02;2021-06;;"{""coordinates"": [2.2563839806303143, 48.83792815479019], ""type"": ""Point""}";48.83792815479019, 2.2563839806303143
3673;Des tables de tennis de table dans les jardins du 15e;Jeux et loisirs dans les parcs et squares du 15e;2016;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;31 Rue Peclet;75015;2.2999;48.8415;non;116;FIN;2016-10;2017-11;2019-02;2019-08;2019-09;2811;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003654;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2811&portlet_id=158;Direction des Espaces Verts et de l’Environnement;727500;Budget participatif d’arrondissement;31 Rue Peclet;75015;Non;FIN;2016-10;2017-07;2018-02;2018-06;2019-09;;"{""coordinates"": [2.2998999999791097, 48.84150000019552], ""type"": ""Point""}";48.84150000019552, 2.2998999999791097
3688;En piste /porte de Courcelles;En piste, encore plus d'aménagements cyclables;2015;Mobilités;Direction de la Voirie et des Déplacements;;222, Rue de Courcelles;75017;2.29413;48.88846;non;36;FIN;2017-12;2017-12;2018-01;2022-06;2022-06;1959;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1959&portlet_id=158;Direction de la Voirie et des Déplacements;8000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-12;2017-12;2018-01;2016-12;2022-06;;"{""coordinates"": [2.294130000183342, 48.88846000021287], ""type"": ""Point""}";48.88846000021287, 2.294130000183342
3689;En piste/Porte de Champerret;En piste, encore plus d'aménagements cyclables;2015;Mobilités;Direction de la Voirie et des Déplacements;;Avenue de la porte de Champerret;75017;2.2874;48.8862;non;36;FIN;2017-12;;2018-02;2018-03;2018-03;1959;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1959&portlet_id=158;Direction de la Voirie et des Déplacements;8000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-12;2017-12;2018-01;2016-12;2022-06;;"{""coordinates"": [2.2873999993643483, 48.88619999966024], ""type"": ""Point""}";48.88619999966024, 2.2873999993643483
